Ano,Cargo,Nome do candidato na urna,Partido,Quantidade de candidatos indígenas
2014,Deputado Estadual,Jarbas Bezerra,PC do B,1
2018,Deputado Estadual,Wanda,PSB,1
2022,Deputado Federal,Paulo Anacé,PSOL,1
2022,Deputado Federal,Leo Azevedo,PSB,1
2022,Deputado Federal,Edivania Vieira,PCB,1
2022,Deputado Estadual,Mácio,PSOL,1
2022,Deputado Estadual,Cacika Irê,PC do B,1
2018,Governador,Gonzaga,PSTU,1
2018,Deputado Federal,José Macio,PSOL,1
2018,Deputado Estadual,Sônia Maria,PC do B,1
2014,Deputado Estadual,João Bosco,PC do B,1
2018,Deputado Estadual,Roberto Anacé,PSOL,1
2018,Deputado Estadual,Pablicio Bibi,PC do B,1
2018,Deputado Estadual,Jarbas,PC do B,1
2018,Deputado Estadual,Erika Loka,PT,1
2018,Deputado Estadual,Alice Oliveira,PT,1
2018,Deputado Estadual,Acaci,PC do B,1
2014,Deputado Federal,Professor Edilson,PSOL,1
2022,Vice-Governador,Francisco Bita Tapeba,UP,1
